Player,Age,Player Age
Emma Sears,24-255,24
Ellie Jean,28-278,28
Courtney Petersen,28-008,28
Taylor Flint,26-348,26
Janine Sonis,31-077,31
Arin Wright,32-315,32
Jordyn Bloomer,28-022,28
Ella Hase,23-116,23
Savannah Demelo,27-224,27
Lauren Milliet,28-339,28
Ary Borges,25-312,25
Katie O’Kane,,
Kayla Fischer,25-304,25
Sarah Weber,22-264,22
Katie Lund,28-343,28
Marisa DiGrande,28-273,28
Makenna Morris,23-193,23
Uchenna Kanu,28-138,28
Bethany Balcer,28-243,28
Elli Pikkujämsä,26-012,26
Maddy Anderson,23-256,23
Jordan Baggett,29-008,29
Ángela Barón,22-048,22
Allie George,22-225,22
Avery Kalitta,,
Maddie Pokorny,28-346,28
Cristina Roque,23-364,23
Katie Scott,18-138,18
Madison White,24-143,24
